Image,Name,Rarity,Occupation,Species,Color,Box
92,ZEI-6-MM6737,Epic,Phantom,Bear Dana,White,Gold
93,ZEI-6-MM5402,Epic,Phantom,Dog Pat,White,Gold
94,ZEI-6-MM2762,Epic,Phantom,Mouse Spencer,Black,Gold
95,ZEI-6-MM6770,Epic,Phantom,Dog Noel,Black,Gold
96,ZEI-6-MM2046,Epic,Phantom,Owl Devin Brown,Brown,Gold
97,ZEI-6-MM2521,Epic,Phantom,Monkey Dakota,White,Gold
98,ZEI-6-MM5232,Epic,Phantom,Bear Riley,Black,Gold
99,ZEI-6-MM6989,Epic,Phantom,Cat Skyler,White,Gold
100,ZEI-6-MM2129,Epic,Phantom,Mouse Kerry,White,Gold
101,ZEI-6-MM7165,Epic,Phantom,Monkey Hayden,Brown,Gold
102,ZEI-6-MM6285,Epic,Mage,Rabbit Kyle,White,Gold
103,ZEI-6-MM8701,Epic,Mage,Monkey Frankie,Black,Gold
104,ZEI-6-MM1644,Epic,Mage,Cat Blair,Black,Gold
105,ZEI-6-MM2130,Epic,Mage,Bear Riley,Black,Gold
106,ZEI-6-MM1545,Epic,Mage,Cat Marley,White,Gold
107,ZEI-6-MM8289,Epic,Mage,Cat Harper,Black,Gold
108,ZEI-6-MM7999,Epic,Mage,Rabbit Logan,Black,Gold
109,ZEI-6-MM1616,Epic,Mage,Monkey Blake,Brown,Gold
110,ZEI-6-MM5632,Epic,Mage,Monkey Parker,Black,Gold
111,ZEI-6-MM1022,Epic,Mage,Dog Hunter,White,Gold
112,ZEI-6-MM2609,Epic,Mage,Dog Emerson,Black,Gold
113,ZEI-6-MM9863,Epic,Prophet,Cat Harper,Black,Gold
114,ZEI-6-MM6664,Epic,Prophet,Monkey Charlie,Black,Gold
115,ZEI-6-MM9156,Epic,Prophet,Monkey Ripley,Brown,Gold
116,ZEI-6-MM6408,Epic,Prophet,Bear Riley,Black,Gold
117,ZEI-6-MM4350,Epic,Prophet,Rabbit Tracy,Black,Gold
118,ZEI-6-MM1377,Epic,Prophet,Rabbit Jesse,Black,Gold
119,ZEI-6-MM9229,Epic,Prophet,Rabbit Kyle,White,Gold
120,ZEI-6-MM2622,Epic,Prophet,Owl Devin Brown,Brown,Gold
121,ZEI-6-MM3905,Epic,Prophet,Monkey Frankie,Black,Gold
122,ZEI-6-MM8208,Epic,Prophet,Dog Kai,Black,Gold
123,ZEI-6-MM6590,Epic,Prophet,Dog Hunter,White,Gold
124,ZEI-6-MM2569,Epic,Astrologist,Dog Noel,Black,Gold
125,ZEI-6-MM6521,Epic,Astrologist,Cat Skyler,White,Gold
126,ZEI-6-MM9075,Epic,Astrologist,Cat Marley,White,Gold
127,ZEI-6-MM6581,Epic,Astrologist,Rabbit Finley,White,Gold
128,ZEI-6-MM3820,Epic,Astrologist,Monkey Parker,Black,Gold
129,ZEI-6-MM5756,Epic,Astrologist,Cat Dylan,Black,Gold
130,ZEI-6-MM4191,Epic,Astrologist,Dog Addison,Black,Gold
131,ZEI-6-MM2030,Epic,Astrologist,Bear Dana,White,Gold
132,ZEI-6-MM1655,Epic,Astrologist,Monkey Arden,Black,Gold
133,ZEI-6-MM3650,Rare,Captain,Dog Morgan,White,Gold
134,ZEI-6-MM2765,Rare,Captain,Rabbit Jesse,Black,Gold
135,ZEI-6-MM9484,Rare,Captain,Cat Blair,Black,Gold
136,ZEI-6-MM9838,Rare,Captain,Rabbit Finley,White,Gold
137,ZEI-6-MM6427,Rare,Pirate,Owl Devin,White,Gold
138,ZEI-6-MM2731,Rare,Pirate,Monkey Dakota,Black,Gold
139,ZEI-6-MM5962,Rare,Pirate,Cat Blair,White,Gold
140,ZEI-6-MM5736,Rare,Pirate,Owl Aubrey,Black,Gold
141,ZEI-6-MM8762,Rare,Pirate,Monkey Blake,Black,Gold
142,ZEI-6-MM5535,Rare,Pirate,Monkey Frankie,White,Gold
143,ZEI-6-MM1706,Rare,Pirate,Owl Taylor Brown,Brown,Gold
144,ZEI-6-MM6868,Rare,Pirate,Rabbit Ashton,White,Gold
145,ZEI-6-MM4651,Rare,Mighty Pirate,Monkey Ripley,Brown,Gold
146,ZEI-6-MM3578,Rare,Mighty Pirate,Rabbit Jesse,Black,Gold
147,ZEI-6-MM8242,Rare,Archaeologist,Cat Blair,White,Gold
148,ZEI-6-MM5537,Rare,Archaeologist,Mouse Mackenzie,White,Gold
149,ZEI-6-MM1217,Rare,Archaeologist,Rabbit Peyton,Black,Gold
150,ZEI-6-MM1711,Rare,Archaeologist,Monkey Ripley,Black,Gold
151,ZEI-6-MM6165,Rare,Archaeologist,Owl Devin,White,Gold
152,ZEI-6-MM5323,Rare,Archaeologist,Rabbit Ashton,White,Gold
153,ZEI-6-MM9101,Rare,Detective,Cat Dylan,White,Gold
154,ZEI-6-MM7549,Rare,Detective,Mouse Rory,Black,Gold
155,ZEI-6-MM2206,Rare,Detective,Dog Kai,White,Gold
156,ZEI-6-MM2379,Rare,Hacker,Monkey Hayden,Black,Gold
157,ZEI-6-MM4220,Rare,Hacker,Mouse Spencer,White,Gold
158,ZEI-6-MM7442,Rare,Hacker,Cat Marley,Black,Gold
159,ZEI-6-MM4393,Rare,Hacker,Rabbit Tracy,White,Gold
160,ZEI-6-MM5650,Rare,Hacker,Rabbit Peyton,Black,Gold
161,ZEI-6-MM9798,Rare,Hacker,Rabbit Logan,White,Gold
162,ZEI-6-MM1632,Rare,Master,Dog Hunter,Black,Gold
163,ZEI-6-MM1709,Rare,Master,Dog Pat,White,Gold
164,ZEI-6-MM8800,Rare,Master,Owl Taylor,Black,Gold
165,ZEI-6-MM1279,Rare,Master,Dog Cameron,White,Gold
166,ZEI-6-MM2437,Rare,Martial Artist,Dog Kai,White,Gold
167,ZEI-6-MM1467,Rare,Martial Artist,Rabbit Finley,White,Gold
168,ZEI-6-MM8704,Rare,Mighty Master,Cat Harper,Black,Gold
169,ZEI-6-MM8166,Rare,Mighty Master,Dog Noel,Black,Gold
170,ZEI-6-MM1395,Rare,Mighty Master,Cat Casey,White,Gold
171,ZEI-6-MM6719,Rare,Pilot,Dog Bailey,Black,Gold
172,ZEI-6-MM9765,Rare,Pilot,Rabbit Logan,White,Gold
173,ZEI-6-MM1838,Rare,Pilot,Dog Cameron,White,Gold
174,ZEI-6-MM8123,Rare,Pilot,Dog Morgan,Black,Gold
175,ZEI-6-MM8838,Rare,Sailor,Cat Blair,White,Gold
176,ZEI-6-MM3963,Rare,Sailor,Cat Skyler,Black,Gold
177,ZEI-6-MM6340,Rare,Sailor,Cat Adrian,Black,Gold
178,ZEI-6-MM3354,Rare,Priest,Owl Aubrey,Black,Gold
179,ZEI-6-MM9339,Rare,Magician,Mouse Rory,White,Gold
180,ZEI-6-MM7690,Rare,Magician,Cat Ellis,Black,Gold
181,ZEI-6-MM1448,Rare,Magician,Dog Addison,White,Gold
182,ZEI-6-MM9408,Rare,Magician,Cat Marley,Black,Gold
183,ZEI-6-MM8515,Rare,Magician,Rabbit Kyle,White,Gold
184,ZEI-6-MM4761,Rare,Magician,Rabbit Ashton,Black,Gold
185,ZEI-6-MM7944,Rare,Clown,Mouse Spencer,Black,Gold
186,ZEI-6-MM1596,Rare,Clown,Cat Harper,Black,Gold
187,ZEI-6-MM6359,Rare,Clown,Dog Noel,Black,Gold
188,ZEI-6-MM6459,Rare,Clown,Owl Devin,White,Gold
189,ZEI-6-MM5522,Rare,Clown,Dog Drew,White,Gold
190,ZEI-6-MM3411,Rare,Clown,Cat Casey,White,Gold
191,ZEI-6-MM1190,Rare,Scientist,Rabbit Ashton,White,Gold
192,ZEI-6-MM7844,Rare,Scientist,Rabbit Peyton,Black,Gold
193,ZEI-6-MM4330,Rare,Scientist,Cat Blair,Black,Gold
194,ZEI-6-MM6264,Rare,Singer,Monkey Blake,Brown,Gold
195,ZEI-6-MM9925,Rare,Singer,Monkey Dakota,White,Gold
196,ZEI-6-MM5256,Rare,Singer,Dog Noel,Black,Gold
197,ZEI-6-MM6327,Rare,Doctor,Monkey Parker,White,Gold
198,ZEI-6-MM6644,Rare,Doctor,Cat Skyler,Black,Gold
199,ZEI-6-MM9604,Rare,Doctor,Rabbit Peyton,Black,Gold
200,ZEI-6-MM4416,Rare,Doctor,Monkey Ripley,Black,Gold
201,ZEI-6-MM8891,Legendary,Sage,Cat Skyler,Black,Red
202,ZEI-6-MM4437,Legendary,Sage,Dog Pat,Black,Red
203,ZEI-6-MM3532,Legendary,Sage,Cat Adrian,Black,Red
204,ZEI-6-MM6953,Legendary,Sage,Rabbit Kyle,White,Red
205,ZEI-6-MM5560,Legendary,Sage,Rabbit Finley,Black,Red
206,ZEI-6-MM7800,Legendary,Sage,Dog Kai,White,Red
207,ZEI-6-MM6419,Legendary,Sage,Monkey Frankie,White,Red
208,ZEI-6-MM9724,Legendary,Sage,Mouse Kerry,White,Red
209,ZEI-6-MM3877,Legendary,Sage,Monkey Dakota,Black,Red
210,ZEI-6-MM2541,Legendary,Sage,Rabbit Logan,Black,Red
211,ZEI-6-MM9788,Legendary,Sage,Cat Dylan,Black,Red
212,ZEI-6-MM7026,Legendary,Sage,Dog Addison,Black,Red
213,ZEI-6-MM5944,Legendary,Sage,Dog Hunter,Black,Red
214,ZEI-6-MM2294,Legendary,Sage,Cat Adrian,White,Red
215,ZEI-6-MM4641,Legendary,Sage,Cat Casey,White,Red
216,ZEI-6-MM5463,Legendary,Sage,Mouse Mackenzie,Black,Red
217,ZEI-6-MM4298,Legendary,Sage,Cat Rowan,White,Red
218,ZEI-6-MM8469,Legendary,Sage,Rabbit Finley,White,Red
219,ZEI-6-MM9988,Legendary,Sage,Dog Hunter,White,Red
220,ZEI-6-MM6374,Legendary,Sage,Cat Harper,White,Red
221,ZEI-6-MM7607,Legendary,Sage,Dog Cameron,Black,Red
222,ZEI-6-MM7946,Legendary,Sage,Monkey Blake,Black,Red
223,ZEI-6-MM8731,Legendary,Sage,Mouse Avery,Black,Red
224,ZEI-6-MM8937,Legendary,Sage,Cat Marley,Black,Red
225,ZEI-6-MM5048,Legendary,Sage,Cat Blair,White,Red
226,ZEI-6-MM5888,Legendary,Sage,Monkey Ripley,Brown,Red
227,ZEI-6-MM3256,Epic,Warrior,Monkey Parker,White,Red
228,ZEI-6-MM9406,Epic,Warrior,Cat Lane,White,Red
229,ZEI-6-MM9686,Epic,Warrior,Dog Morgan,Black,Red
230,ZEI-6-MM5699,Epic,Warrior,Cat Dylan,White,Red
231,ZEI-6-MM8574,Epic,Warrior,Owl Aubrey,Black,Red
232,ZEI-6-MM2570,Epic,Warrior,Cat Ellis,Black,Red
233,ZEI-6-MM2538,Epic,Warrior,Monkey Ripley,Black,Red
234,ZEI-6-MM6283,Epic,Warrior,Mouse Kerry,Black,Red
235,ZEI-6-MM6876,Epic,Warrior,Mouse Avery,White,Red
236,ZEI-6-MM3847,Epic,Warrior,Bear Dana,Black,Red
237,ZEI-6-MM4918,Epic,Warrior,Dog Emerson,White,Red
238,ZEI-6-MM6763,Epic,Warrior,Mouse Spencer,White,Red
239,ZEI-6-MM5807,Epic,Warrior,Cat Harper,White,Red
240,ZEI-6-MM6167,Epic,Warrior,Cat Marley,Black,Red
241,ZEI-6-MM7233,Epic,Future Warrior,Cat Adrian,Black,Red
242,ZEI-6-MM5978,Epic,Future Warrior,Owl Aubrey,Black,Red
243,ZEI-6-MM5689,Epic,Future Warrior,Rabbit Peyton,Black,Red
244,ZEI-6-MM3956,Epic,Future Warrior,Dog Drew,Black,Red
245,ZEI-6-MM6225,Epic,Future Warrior,Mouse Mackenzie,White,Red
246,ZEI-6-MM3997,Epic,Future Warrior,Bear Riley,brown,Red
247,ZEI-6-MM4804,Epic,Future Warrior,Monkey Blake,Black,Red
248,ZEI-6-MM5921,Epic,Future Warrior,Bear Dana,Black,Red
249,ZEI-6-MM7464,Epic,Future Warrior,Monkey Ripley,Black,Red
250,ZEI-6-MM3138,Epic,Future Warrior,Cat Marley,Black,Red
251,ZEI-6-MM3083,Epic,Mighty Warrior,Dog Emerson,Black,Red
252,ZEI-6-MM6615,Epic,Mighty Warrior,Dog Pat,White,Red
253,ZEI-6-MM6535,Epic,Mighty Warrior,Cat Harper,Black,Red
254,ZEI-6-MM7765,Epic,Mighty Warrior,Dog Cameron,Black,Red
255,ZEI-6-MM1403,Epic,Mighty Warrior,Rabbit Jesse,Black,Red
256,ZEI-6-MM5370,Epic,Mighty Warrior,Cat Blair,Black,Red
257,ZEI-6-MM5384,Epic,Mighty Warrior,Cat Casey,White,Red
258,ZEI-6-MM6783,Epic,Mighty Warrior,Dog Drew,White,Red
259,ZEI-6-MM4090,Epic,Mighty Warrior,Mouse Kerry,White,Red
260,ZEI-6-MM9344,Epic,Mighty Warrior,Mouse Spencer,Black,Red
261,ZEI-6-MM1460,Epic,Mighty Warrior,Mouse Rory,White,Red
262,ZEI-6-MM2157,Epic,Mighty Warrior,Mouse Mackenzie,Black,Red
263,ZEI-6-MM1324,Epic,Mighty Warrior,Monkey Parker,Black,Red
264,ZEI-6-MM3130,Epic,Mighty Warrior,Cat Rowan,Black,Red
265,ZEI-6-MM6754,Epic,Mighty Warrior,Rabbit Tracy,Black,Red
266,ZEI-6-MM9819,Epic,Mighty Warrior,Rabbit Peyton,White,Red
267,ZEI-6-MM4811,Epic,Mighty Warrior,Cat Skyler,White,Red
268,ZEI-6-MM5491,Epic,Mighty Warrior,Cat Marley,White,Red
269,ZEI-6-MM5465,Epic,Ronin,Cat Marley,White,Red
270,ZEI-6-MM9460,Epic,Ronin,Dog Morgan,White,Red
271,ZEI-6-MM2873,Epic,Ronin,Rabbit Finley,White,Red
272,ZEI-6-MM1320,Epic,Ronin,Monkey Frankie,Black,Red
273,ZEI-6-MM4143,Epic,Ronin,Monkey Hayden,Brown,Red
274,ZEI-6-MM5078,Epic,Ronin,Dog Kai,Black,Red
275,ZEI-6-MM2125,Epic,Ronin,Owl Devin,Brown,Red
276,ZEI-6-MM2057,Epic,Ronin,Cat Ellis,White,Red
277,ZEI-6-MM6093,Epic,Ronin,Monkey Blake,Brown,Red
278,ZEI-6-MM8049,Epic,Ronin,Cat Harper,Black,Red
279,ZEI-6-MM9173,Epic,Ronin,Cat Casey,White,Red
280,ZEI-6-MM7424,Epic,Ronin,Dog Addison,Black,Red
281,ZEI-6-MM8740,Epic,Ronin,Dog Cameron,Black,Red
282,ZEI-6-MM7576,Epic,Swordsman,Mouse Mackenzie,Black,Red
283,ZEI-6-MM2769,Epic,Swordsman,Cat Ellis,White,Red
284,ZEI-6-MM1506,Epic,Swordsman,Mouse Avery,Black,Red
285,ZEI-6-MM9225,Epic,Swordsman,Dog Noel,Black,Red
286,ZEI-6-MM3882,Epic,Swordsman,Rabbit Logan,Black,Red
287,ZEI-6-MM8955,Epic,Swordsman,Rabbit Jesse,Black,Red
288,ZEI-6-MM6186,Epic,Swordsman,Cat Casey,White,Red
289,ZEI-6-MM8224,Epic,Swordsman,Cat Marley,White,Red
290,ZEI-6-MM7214,Epic,Swordsman,Dog Emerson,Black,Red
291,ZEI-6-MM3165,Epic,Swordsman,Rabbit Finley,White,Red
292,ZEI-6-MM7074,Epic,Swordsman,Cat Harper,Black,Red
293,ZEI-6-MM1915,Epic,Swordsman,Cat Adrian,White,Red
294,ZEI-6-MM1684,Epic,Swordsman,Bear Riley,Black,Red
295,ZEI-6-MM3443,Epic,Swordsman,Dog Kai,Black,Red
296,ZEI-6-MM3337,Epic,Swordsman,Dog Morgan,White,Red
297,ZEI-6-MM9271,Epic,Swordsman,Rabbit Kyle,White,Red
298,ZEI-6-MM7621,Epic,Ninja,Rabbit Finley,White,Red
299,ZEI-6-MM6215,Epic,Ninja,Bear Riley,Black,Red
300,ZEI-6-MM7003,Epic,Ninja,Dog Cameron,Black,Red
301,ZEI-6-MM8845,Epic,Ninja,Dog Emerson,Black,Red
302,ZEI-6-MM4657,Epic,Ninja,Cat Ellis,White,Red
303,ZEI-6-MM5380,Epic,Ninja,Mouse Spencer,Black,Red
304,ZEI-6-MM5475,Epic,Ninja,Dog Addison,Black,Red
305,ZEI-6-MM2548,Epic,Ninja,Monkey Frankie,Black,Red
306,ZEI-6-MM7226,Epic,Ninja,Mouse Avery,Black,Red
307,ZEI-6-MM4560,Epic,Ninja,Dog Hunter,White,Red
308,ZEI-6-MM4474,Epic,Ninja,Bear Dana,White,Red
309,ZEI-6-MM1587,Epic,Ninja,Dog Bailey,White,Red
310,ZEI-6-MM9182,Epic,Ninja,Rabbit Logan,Black,Red
311,ZEI-6-MM7860,Epic,Ninja,Cat Dylan,Black,Red
312,ZEI-6-MM2536,Epic,Phantom,Owl Taylor,Black,Red
313,ZEI-6-MM2906,Epic,Phantom,Dog Addison,Black,Red
314,ZEI-6-MM2704,Epic,Phantom,Rabbit Jesse,Black,Red
315,ZEI-6-MM5361,Epic,Phantom,Dog Emerson,Black,Red
316,ZEI-6-MM8766,Epic,Phantom,Rabbit Kyle,White,Red
317,ZEI-6-MM4816,Epic,Phantom,Mouse Rory,White,Red
318,ZEI-6-MM5633,Epic,Phantom,Mouse Avery,Black,Red
319,ZEI-6-MM7279,Epic,Phantom,Cat Harper,Black,Red
320,ZEI-6-MM5119,Epic,Phantom,Monkey Arden,Black,Red
321,ZEI-6-MM2653,Epic,Phantom,Dog Cameron,Black,Red
322,ZEI-6-MM2485,Epic,Phantom,Cat Casey,White,Red
323,ZEI-6-MM7482,Epic,Phantom,Cat Ellis,White,Red
324,ZEI-6-MM5924,Epic,Phantom,Dog Hunter,White,Red
325,ZEI-6-MM1642,Epic,Mage,Mouse Kerry,White,Red
326,ZEI-6-MM3686,Epic,Mage,Cat Rowan,Black,Red
327,ZEI-6-MM4386,Epic,Mage,Monkey Charlie,Black,Red
328,ZEI-6-MM3787,Epic,Mage,Rabbit Tracy,Black,Red
329,ZEI-6-MM1393,Epic,Mage,Dog Noel,Black,Red
330,ZEI-6-MM3308,Epic,Mage,Cat Skyler,White,Red
331,ZEI-6-MM8772,Epic,Mage,Rabbit Peyton,White,Red
332,ZEI-6-MM1950,Epic,Mage,Owl Devin Brown,Brown,Red
333,ZEI-6-MM9059,Epic,Mage,Monkey Dakota,White,Red
334,ZEI-6-MM4259,Epic,Mage,Dog Kai,Black,Red
335,ZEI-6-MM9282,Epic,Mage,Dog Morgan,White,Red
336,ZEI-6-MM8143,Epic,Mage,Monkey Hayden,Brown,Red
337,ZEI-6-MM5423,Epic,Prophet,Cat Lane,Black,Red
338,ZEI-6-MM2641,Epic,Prophet,Cat Blair,Black,Red
339,ZEI-6-MM6626,Epic,Prophet,Monkey Parker,Black,Red
340,ZEI-6-MM4421,Epic,Prophet,Dog Addison,Black,Red
341,ZEI-6-MM3338,Epic,Prophet,Dog Emerson,Black,Red
342,ZEI-6-MM2644,Epic,Prophet,Dog Pat,White,Red
343,ZEI-6-MM1787,Epic,Prophet,Dog Cameron,Black,Red
344,ZEI-6-MM1253,Epic,Prophet,Cat Skyler,White,Red
345,ZEI-6-MM3775,Epic,Prophet,Owl Taylor,Black,Red
346,ZEI-6-MM6813,Epic,Prophet,Dog Morgan,White,Red
347,ZEI-6-MM3632,Epic,Prophet,Rabbit Logan,Black,Red
348,ZEI-6-MM4181,Epic,Prophet,Cat Dylan,Black,Red
349,ZEI-6-MM7939,Epic,Prophet,Cat Casey,White,Red
350,ZEI-6-MM7725,Epic,Prophet,Rabbit Peyton,White,Red
351,ZEI-6-MM9730,Epic,Astrologist,Cat Casey,White,Red
352,ZEI-6-MM6561,Epic,Astrologist,Monkey Hayden,Brown,Red
353,ZEI-6-MM7018,Epic,Astrologist,Dog Bailey,White,Red
354,ZEI-6-MM7198,Epic,Astrologist,Dog Pat,White,Red
355,ZEI-6-MM6310,Epic,Astrologist,Dog Morgan,White,Red
356,ZEI-6-MM1679,Epic,Astrologist,Monkey Frankie,Black,Red
357,ZEI-6-MM9647,Epic,Astrologist,Mouse Spencer,Black,Red
358,ZEI-6-MM7149,Epic,Astrologist,Owl Devin Brown,Brown,Red
359,ZEI-6-MM9673,Epic,Astrologist,Mouse Avery,Black,Red
360,ZEI-6-MM5128,Epic,Astrologist,Cat Adrian,White,Red
361,ZEI-6-MM3897,Epic,Astrologist,Cat Lane,Black,Red
362,ZEI-6-MM4571,Epic,Astrologist,Rabbit Logan,Black,Red
363,ZEI-6-MM2963,Epic,Astrologist,Rabbit Peyton,White,Red
364,ZEI-6-MM7647,Rare,Captain,Bear Riley,Black,Red
365,ZEI-6-MM9162,Rare,Captain,Bear Dana,White,Red
366,ZEI-6-MM5992,Rare,Captain,Rabbit Tracy,Black,Red
367,ZEI-6-MM3655,Rare,Captain,Cat Adrian,White,Red
368,ZEI-6-MM8335,Rare,Pirate,Cat Skyler,Black,Red
